"line","word"
115,"children"
115,"make"
115,"special"
115,"becausea"
116,"windfal"
116,"children"
116,"get"
116,"estate"
116,"will"
116,"rich"
116,"allea"
117,"thing"
117,"estate"
117,"prevent"
117,"alreadi"
117,"entitl"
117,"massiv"
117,"advantag"
117,"children"
117,"insan"
117,"richea"
118,"elimin"
118,"estate"
118,"antidemocrat"
118,"antiamerican"
118,"simpli"
118,"entitl"
118,"perman"
118,"unearn"
118,"advantea"
119,"senate"
119,"pass"
119,"bill"
119,"keep"
119,"carri"
119,"interest"
119,"loophol"
119,"hour"
119,"later"
119,"trump"
119,"attend"
119,"fundrais"
119,"park"
119,"avenu"
119,"aparea"
120,"improv"
120,"talk"
121,"edabdedbedabcedbfbctot"
121,"failedabdedbedabcedbfbc"
121,"republican"
121,"control"
121,"chamber"
121,"congress"
121,"wh"
121,"yet"
121,"theyer"
121,"scrambl"
121,"pass"
121,"budgeteefbf"
121,"yeea"
122,"goptaxscam"
122,"expos"
122,"hypocrisi"
122,"deficit"
122,"hawk"
122,"taxscam"
122,"will"
122,"explod"
122,"debt"
122,"least"
122,"trillion"
122,"doea"
123,"senate"
123,"gop"
123,"accident"
123,"kill"
123,"corpor"
123,"deduct"
124,"think"
124,"make"
124,"great"
124,"point"
124,"honest"
124,"think"
124,"berni"
124,"solut"
124,"far"
124,"simpler"
124,"simpli"
124,"pass"
124,"anea"
125,"million"
125,"american"
125,"will"
125,"lose"
125,"health"
125,"insur"
125,"gop"
125,"plan"
126,"cell"
126,"phone"
126,"servic"
126,"cant"
126,"order"
126,"anyth"
126,"foodpanda"
126,"gas"
126,"cant"
126,"cook"
126,"egg"
126,"home"
126,"water"
126,"soea"
127,"edabdedbedabdedbedabdedbwhil"
127,"republican"
127,"manic"
127,"outlin"
127,"plan"
127,"take"
127,"poor"
127,"give"
127,"trump"
127,"also"
127,"accea"
128,"senate"
128,"bill"
128,"affect"
128,"rich"
128,"poor"
128,"three"
128,"chart"
129,"taxscambil"
129,"puerto"
129,"rico"
129,"get"
129,"import"
129,"good"
129,"come"
129,"us"
129,"main"
129,"land"
129,"taxiea"
130,"boost"
130,"locat"
130,"orfic"
130,"work"
131,"people"
131,"dump"
131,"hate"
131,"take"
131,"joy"
131,"father"
131,"ill"
131,"dont"
131,"like"
131,"vote"
131,"taxea"
132,"look"
132,"iem"
132,"talk"
132,"woman"
132,"canet"
132,"see"
132,"join"
132,"return"
132,"stop"
132,"wast"
132,"time"
133,"senate"
133,"just"
133,"vote"
133,"open"
133,"america"
133,"arctic"
133,"nation"
133,"wildlif"
133,"refug"
133,"oil"
133,"drill"
133,"pay"
133,"cut"
133,"theea"
134,"democrat"
134,"take"
134,"note"
134,"make"
134,"timelin"
134,"medicar"
134,"univers"
134,"basic"
134,"incom"
134,"ginorm"
134,"hikeea"
135,"fulmer"
135,"pull"
135,"les"
135,"mile"
135,"tee"
135,"martin"
135,"combo"
135,"thate"
135,"championship"
135,"mental"
135,"slayer"
135,"bowl"
135,"will"
135,"haveea"
136,"im"
136,"trump"
136,"fan"
136,"search"
136,"unbia"
136,"info"
136,"plan"
136,"pull"
136,"summarieea"
137,"know"
137,"worth"
137,"add"
138,"thread"
138,"here"
138,"page"
138,"sweep"
138,"trump"
138,"bill"
138,"pass"
138,"senate"
138,"gop"
138,"dead"
138,"night"
138,"last"
138,"minea"
139,"much"
139,"trumpgop"
139,"bill"
139,"boost"
139,"oilga"
139,"program"
139,"drill"
139,"usa"
139,"last"
139,"wild"
139,"area"
139,"arctic"
139,"nation"
139,"wildlifea"
140,"key"
140,"languag"
140,"p"
140,"trumpgop"
140,"bill"
140,"direct"
140,"dept"
140,"interior"
140,"secretari"
140,"ryea"
141,"excus"
141,"sir"
141,"spend"
141,"everi"
141,"last"
141,"darn"
141,"penni"
141,"booz"
141,"movi"
141,"men"
142,"people"
142,"complain"
142,"selena"
142,"memori"
142,"zarzamora"
142,"say"
142,"money"
142,"use"
142,"street"
142,"wellea"
143,"mani"
143,"constitu"
143,"ask"
143,"resourc"
143,"better"
143,"understand"
143,"unconvent"
143,"legisl"
143,"process"
143,"staff"
143,"createa"
144,"petit"
144,"immedi"
144,"disclos"
144,"name"
144,"elect"
144,"offici"
144,"use"
144,"dollar"
144,"pay"
144,"victim"
145,"reform"
145,"step"
145,"ec"
145,"done"
145,"applaus"
145,"friend"
145,"colleagu"
145,"senate"
145,"cusp"
145,"deliv"
145,"somea"
146,"realli"
146,"super"
146,"great"
146,"acknowledg"
146,"grad"
146,"student"
146,"human"
146,"also"
146,"exist"
146,"risk"
147,"velshiruhl"
147,"repub"
147,"just"
147,"admit"
147,"close"
147,"loophol"
147,"corpor"
147,"close"
147,"deduct"
147,"us"
147,"dontea"
148,"might"
148,"propos"
148,"reform"
148,"bill"
148,"mean"
148,"investor"
148,"like"
148,"read"
149,"child"
149,"molest"
149,"small"
149,"price"
149,"pay"
149,"cut"
149,"word"
149,"trump"
149,"gop"
149,"sink"
149,"ever"
149,"moea"
150,"weev"
150,"gone"
150,"ectax"
150,"theft"
150,"ectax"
150,"relief"
150,"murder"
150,"quit"
150,"pendulum"
150,"go"
151,"say"
151,"gop"
151,"kill"
151,"million"
151,"american"
151,"overnight"
151,"cut"
151,"hyperbol"
151,"know"
151,"isnet"
151,"hyperbol"
151,"sayinea"
152,"major"
152,"differ"
152,"hous"
152,"senate"
152,"cut"
152,"bill"
153,"karma"
153,"bite"
154,"dont"
154,"trust"
154,"gop"
154,"draft"
154,"reform"
154,"democrat"
154,"becom"
154,"concern"
154,"know"
154,"what"
154,"bill"
154,"beea"
155,"easi"
155,"us"
155,"plebeian"
155,"descend"
155,"will"
155,"indentur"
155,"servantea"
156,"altern"
156,"minimum"
156,"impact"
156,"million"
156,"high"
156,"earner"
156,"rose"
156,"effectiea"
157,"can"
157,"just"
157,"honest"
157,"talk"
157,"reform"
157,"rich"
157,"want"
157,"pay"
157,"less"
157,"taxeea"
158,"that"
158,"republican"
158,"reform"
158,"noth"
158,"requir"
158,"greed"
159,"sad"
159,"your"
159,"still"
159,"wait"
159,"win"
159,"fyi"
159,"medicar"
159,"medicea"
160,"million"
160,"stand"
160,"lose"
160,"health"
160,"insur"
160,"chang"
160,"afford"
160,"care"
160,"act"
160,"senate"
160,"bill"
161,"multizillion"
161,"buhgadzookisan"
161,"trahllion"
161,"infin"
161,"dollar"
161,"bill"
161,"mean"
162,"theoret"
162,"pay"
162,"far"
162,"less"
162,"personalbusi"
162,"also"
162,"corpor"
162,"deduct"
162,"will"
162,"probabl"
162,"remea"
163,"davidsirota"
163,"davidsirota"
163,"thank"
163,"politico"
163,"spotlight"
163,"ibtim"
163,"weekend"
163,"scoop"
163,"foreign"
163,"govern"
163,"aea"
164,"moveon"
164,"get"
164,"scam"
164,"trumptaxscam"
164,"tell"
164,"us"
165,"pascoactivist"
165,"get"
165,"scam"
165,"trumptaxscam"
165,"tell"
165,"us"
166,"moveon"
166,"jaxsun"
166,"even"
166,"amidst"
166,"heat"
166,"fight"
166,"mani"
166,"republican"
166,"urg"
166,"speakerryan"
166,"senateemajldr"
166,"what"
166,"moea"
167,"pascoactivist"
167,"jaxsun"
167,"even"
167,"amidst"
167,"heat"
167,"fight"
167,"mani"
167,"republican"
167,"urg"
167,"speakerryan"
167,"senateemajldr"
167,"wea"
168,"leftsidestoryus"
168,"us"
168,"senate"
168,"approv"
168,"bill"
168,"provis"
168,"hobbl"
168,"solar"
168,"wind"
168,"credit"
168,"renew"
168,"energyea"
169,"rcooley"
169,"gop"
169,"propos"
169,"hurt"
169,"bottom"
169,"line"
169,"mr"
169,"presid"
170,"moveon"
170,"got"
170,"ben"
170,"jerri"
170,"cofound"
170,"yobencohen"
170,"wolfsheep"
170,"costum"
170,"els"
170,"get"
170,"youea"
171,"pascoactivist"
171,"got"
171,"ben"
171,"jerri"
171,"cofound"
171,"yobencohen"
171,"wolfsheep"
171,"costum"
171,"els"
171,"toea"
172,"leftsidestoryus"
172,"gop"
172,"senate"
172,"grassley"
172,"say"
172,"need"
172,"new"
172,"bill"
172,"arent"
172,"millionair"
172,"wast"
172,"money"
172,"oea"
173,"leftsidestoryus"
173,"trump"
173,"bill"
173,"exempt"
173,"just"
173,"one"
173,"colleg"
173,"endow"
173,"ite"
173,"own"
173,"betsi"
173,"devo"
174,"pascoactivist"
174,"topherspiro"
174,"break"
174,"big"
174,"promis"
174,"senateorcollin"
174,"got"
174,"will"
174,"done"
174,"final"
174,"vea"
175,"credomobil"
175,"topherspiro"
175,"break"
175,"big"
175,"promis"
175,"senateorcollin"
175,"got"
175,"will"
175,"done"
175,"final"
175,"voteea"
176,"rcooley"
176,"gop"
176,"sneak"
176,"creation"
176,"fetal"
176,"personhood"
176,"bill"
176,"giant"
176,"giveaway"
176,"antichoic"
176,"religi"
176,"rightea"
177,"moveon"
177,"sunjeevberi"
177,"new"
177,"poll"
177,"republican"
177,"hous"
177,"district"
177,"now"
177,"even"
177,"risk"
177,"flip"
177,"democrat"
177,"ea"
178,"pascoactivist"
178,"sunjeevberi"
178,"new"
178,"poll"
178,"republican"
178,"hous"
178,"district"
178,"now"
178,"even"
178,"risk"
178,"flip"
178,"democrea"
179,"moveon"
179,"taxfair"
179,"one"
179,"senate"
179,"dem"
179,"shape"
179,"goptaxscam"
179,"know"
179,"corp"
179,"lobbyiea"
180,"pascoactivist"
180,"taxfair"
180,"one"
180,"senate"
180,"dem"
180,"shape"
180,"goptaxscam"
180,"know"
180,"corea"
181,"moveon"
181,"senateemajldr"
181,"just"
181,"admit"
181,"gop"
181,"plan"
181,"may"
181,"rais"
181,"middle"
181,"class"
181,"call"
181,"congress"
181,"now"
181,"tea"
182,"pascoactivist"
182,"senateemajldr"
182,"just"
182,"admit"
182,"gop"
182,"plan"
182,"may"
182,"rais"
182,"middle"
182,"class"
182,"call"
182,"congreea"
183,"moveon"
183,"publiccitizen"
183,"thread"
183,"everi"
183,"person"
183,"hand"
183,"craft"
183,"pass"
183,"taxscambillesea"
184,"pascoactivist"
184,"publiccitizen"
184,"thread"
184,"everi"
184,"person"
184,"hand"
184,"craft"
184,"pass"
184,"theea"
185,"moveon"
185,"mkink"
185,"activist"
185,"live"
185,"disabl"
185,"rare"
185,"diseas"
185,"occupi"
185,"offic"
185,"repcurbelo"
185,"protest"
185,"attea"
186,"pascoactivist"
186,"mkink"
186,"activist"
186,"live"
186,"disabl"
186,"rare"
186,"diseas"
186,"occupi"
186,"offic"
186,"repcurbelo"
186,"proea"
187,"moveon"
187,"taxmarch"
187,"realdonaldtrump"
187,"said"
187,"bill"
187,"cut"
187,"middle"
187,"class"
187,"lie"
187,"edabeedba"
188,"pascoactivist"
188,"taxmarch"
188,"realdonaldtrump"
188,"said"
188,"bill"
188,"cut"
188,"middle"
188,"class"
188,"liedea"
189,"davidsirota"
189,"jessedruck"
189,"ireland"
189,"activ"
189,"facilit"
189,"firm"
189,"avoid"
189,"report"
189,"find"
190,"leftsidestoryus"
190,"ceo"
190,"agre"
190,"corpor"
190,"cut"
190,"wont"
190,"trickl"
190,"thehil"
190,"via"
190,"rliber"
191,"moveon"
191,"page"
191,"republican"
191,"plan"
191,"summar"
191,"tweet"
191,"thank"
191,"lanceulanoff"
191,"nytpolit"
191,"atulgawand"
191,"anea"
192,"pascoactivist"
192,"page"
192,"republican"
192,"plan"
192,"summar"
192,"tweet"
192,"thank"
192,"lanceulanoff"
192,"nytpolit"
192,"atulgaea"
193,"davidsirota"
193,"california"
193,"get"
193,"hit"
193,"particular"
193,"hard"
193,"current"
193,"bill"
193,"ryan"
193,"report"
193,"appoint"
193,"top"
193,"calea"
194,"orrin"
194,"hatch"
194,"worthless"
194,"scumbag"
195,"repeal"
195,"obama"
195,"care"
195,"people"
195,"liter"
195,"die"
195,"cut"
195,"people"
195,"liter"
195,"die"
195,"leav"
195,"pari"
195,"accordsea"
196,"big"
196,"red"
196,"flag"
196,"republican"
196,"colleagu"
196,"wont"
196,"listen"
196,"plea"
196,"polici"
196,"least"
196,"listenea"
